,Object,x_perturb,y_perturb,successes,trials
369,CoffeeCookies_800_tex.urdf,0.02,0.01,50.0,50.0
370,CoffeeCookies_800_tex.urdf,-0.02,0.02,49.0,50.0
371,CoffeeCookies_800_tex.urdf,-0.01,0.02,50.0,50.0
372,CoffeeCookies_800_tex.urdf,0.0,0.02,49.0,50.0
373,CoffeeCookies_800_tex.urdf,0.01,0.02,50.0,50.0
374,CoffeeCookies_800_tex.urdf,0.02,0.02,50.0,50.0
375,CoffeeFilters2_800_tex.urdf,-0.02,-0.02,45.0,50.0
376,CoffeeFilters2_800_tex.urdf,-0.01,-0.02,45.0,50.0
377,CoffeeFilters2_800_tex.urdf,0.0,-0.02,49.0,50.0
378,CoffeeFilters2_800_tex.urdf,0.01,-0.02,49.0,50.0
379,CoffeeFilters2_800_tex.urdf,0.02,-0.02,46.0,50.0
380,CoffeeFilters2_800_tex.urdf,-0.02,-0.01,47.0,50.0
381,CoffeeFilters2_800_tex.urdf,-0.01,-0.01,46.0,50.0
382,CoffeeFilters2_800_tex.urdf,0.0,-0.01,43.0,50.0
383,CoffeeFilters2_800_tex.urdf,0.01,-0.01,46.0,50.0
384,CoffeeFilters2_800_tex.urdf,0.02,-0.01,48.0,50.0
385,CoffeeFilters2_800_tex.urdf,-0.02,0.0,45.0,50.0
386,CoffeeFilters2_800_tex.urdf,-0.01,0.0,47.0,50.0
387,CoffeeFilters2_800_tex.urdf,0.0,0.0,45.0,50.0
